iata_code,id_0,id_1,id_2,id_3,id_4,id_5
ACO,CHE_gadm36,CHE.21_1_gadm36,CHE.21.4_1_gadm36,CHE.21.4.20_1_gadm36,,
ACP,IRN_gadm36,IRN.5_1_gadm36,IRN.5.8_1_gadm36,,,
ACR,COL_gadm36,COL.8_1_gadm36,COL.8.14_1_gadm36,,,
ACS,RUS_gadm36,RUS.35_1_gadm36,RUS.35.2_1_gadm36,RUS.35.2.1_1_gadm36,,
ACT,USA_gadm36,USA.44_1_gadm36,USA.44.161_1_gadm36,,,
ACU,PAN_gadm36,PAN.5_1_gadm36,PAN.5.1_1_gadm36,PAN.5.1.11_1_gadm36,,
ACV,USA_gadm36,USA.5_1_gadm36,USA.5.12_1_gadm36,,,
ACX,CHN_gadm36,CHN.8_1_gadm36,CHN.8.7_1_gadm36,CHN.8.7.7_1_gadm36,,
ACY,USA_gadm36,USA.31_1_gadm36,USA.31.1_1_gadm36,,,
ACZ,IRN_gadm36,IRN.26_1_gadm36,IRN.26.6_1_gadm36,,,
ADA,TUR_gadm36,TUR.1_1_gadm36,TUR.1.10_1_gadm36,,,
ADB,TUR_gadm36,TUR.41_1_gadm36,TUR.41.20_1_gadm36,,,
ADC,PNG_gadm36,PNG.6_1_gadm36,PNG.6.6_1_gadm36,,,
ADD,ETH_gadm36,ETH.1_1_gadm36,ETH.1.1_1_gadm36,ETH.1.1.8_1_gadm36,,
ADE,YEM_gadm36,YEM.1_1_gadm36,YEM.1.6_1_gadm36,,,
ADF,TUR_gadm36,TUR.2_1_gadm36,TUR.2.6_1_gadm36,,,
ADG,USA_gadm36,USA.23_1_gadm36,USA.23.50_1_gadm36,,,
ADH,RUS_gadm36,RUS.60_1_gadm36,RUS.60.2_1_gadm36,RUS.60.2.1_1_gadm36,,
ADI,NAM_gadm36,NAM.2_1_gadm36,NAM.2.1_1_gadm36,,,
ADJ,JOR_gadm36,JOR.2_1_gadm36,JOR.2.7_1_gadm36,,,
ADK,USA_gadm36,USA.2_1_gadm36,USA.2.2_1_gadm36,,,
ADL,AUS_gadm36,AUS.8_1_gadm36,AUS.8.67_1_gadm36,,,
ADM,USA_gadm36,USA.37_1_gadm36,USA.37.10_1_gadm36,,,
ADN,COL_gadm36,COL.2_1_gadm36,COL.2.6_1_gadm36,,,
ADO,AUS_gadm36,AUS.8_1_gadm36,AUS.8.61_1_gadm36,,,
ADP,LKA_gadm36,LKA.1_1_gadm36,LKA.1.4_1_gadm36,,,
ADQ,USA_gadm36,USA.2_1_gadm36,USA.2.13_1_gadm36,,,
ADR,USA_gadm36,USA.41_1_gadm36,USA.41.22_1_gadm36,,,
ADS,USA_gadm36,USA.44_1_gadm36,USA.44.57_1_gadm36,,,
ADT,USA_gadm36,USA.37_1_gadm36,USA.37.62_1_gadm36,,,
ADU,IRN_gadm36,IRN.2_1_gadm36,IRN.2.1_1_gadm36,,,
ADV,SDN_gadm36,SDN.5_1_gadm36,SDN.5.1_1_gadm36,SDN.5.1.3_1_gadm36,,
ADW,USA_gadm36,USA.21_1_gadm36,USA.21.16_1_gadm36,,,
ADX,GBR_gadm36,GBR.3_1_gadm36,GBR.3.15_1_gadm36,GBR.3.15.1_1_gadm36,,
ADY,ZAF_gadm36,ZAF.5_1_gadm36,ZAF.5.1_1_gadm36,ZAF.5.1.2_1_gadm36,ZAF.5.1.2.10_1_gadm36,
ADZ,COL_gadm36,COL.26_1_gadm36,COL.26.3_1_gadm36,,,
AEA,,,,,,
AEB,CHN_gadm36,CHN.7_1_gadm36,CHN.7.1_1_gadm36,CHN.7.1.1_1_gadm36,,
AED,USA_gadm36,USA.2_1_gadm36,USA.2.13_1_gadm36,,,
AEE,SSD_gadm36,SSD.7_1_gadm36,SSD.7.5_1_gadm36,SSD.7.5.1_1_gadm36,,
AEG,IDN_gadm36,IDN.32_1_gadm36,IDN.32.21_1_gadm36,IDN.32.21.5_1_gadm36,IDN.32.21.5.6_1_gadm36,
AEH,TCD_gadm36,TCD.17_1_gadm36,TCD.17.3_1_gadm36,TCD.17.3.3_1_gadm36,,
AEI,ESP_gadm36,ESP.1_1_gadm36,ESP.1.2_1_gadm36,ESP.1.2.3_1_gadm36,ESP.1.2.3.1_1_gadm36,
AEK,PNG_gadm36,PNG.14_1_gadm36,PNG.14.7_1_gadm36,,,
AEL,USA_gadm36,USA.24_1_gadm36,USA.24.24_1_gadm36,,,
AEO,MRT_gadm36,MRT.8_1_gadm36,MRT.8.1_1_gadm36,,,
AEP,ARG_gadm36,ARG.5_1_gadm36,ARG.5.1_1_gadm36,,,
AER,RUS_gadm36,RUS.34_1_gadm36,RUS.34.42_1_gadm36,RUS.34.42.1_1_gadm36,,
AES,,,,,,
AET,USA_gadm36,USA.2_1_gadm36,USA.2.26_1_gadm36,,,
AEU,IRN_gadm36,IRN.11_1_gadm36,IRN.11.1_1_gadm36,,,
AEX,USA_gadm36,USA.19_1_gadm36,USA.19.40_1_gadm36,,,
AEY,ISL_gadm36,ISL.2_1_gadm36,ISL.2.2_1_gadm36,,,
AFA,ARG_gadm36,ARG.13_1_gadm36,ARG.13.15_1_gadm36,,,
AFD,ZAF_gadm36,ZAF.1_1_gadm36,ZAF.1.4_1_gadm36,ZAF.1.4.8_1_gadm36,ZAF.1.4.8.2_1_gadm36,
AFF,USA_gadm36,USA.6_1_gadm36,USA.6.2_1_gadm36,,,
AFI,COL_gadm36,COL.2_1_gadm36,COL.2.5_1_gadm36,,,
AFK,LKA_gadm36,LKA.1_1_gadm36,LKA.1.4_1_gadm36,,,
AFL,BRA_gadm36,BRA.12_1_gadm36,BRA.12.3_1_gadm36,BRA.12.3.1_1_gadm36,,
AFN,USA_gadm36,USA.30_1_gadm36,USA.30.3_1_gadm36,,,
AFO,USA_gadm36,USA.51_1_gadm36,USA.51.12_1_gadm36,,,
AFP,USA_gadm36,USA.34_1_gadm36,USA.34.4_1_gadm36,,,
AFR,PNG_gadm36,PNG.17_1_gadm36,PNG.17.1_1_gadm36,,,
AFS,UZB_gadm36,UZB.9_1_gadm36,UZB.9.6_1_gadm36,,,
AFT,SLB_gadm36,SLB.7_1_gadm36,SLB.7.15_1_gadm36,,,
AFW,USA_gadm36,USA.44_1_gadm36,USA.44.220_1_gadm36,,,
AFY,TUR_gadm36,TUR.3_1_gadm36,TUR.3.14_1_gadm36,,,
AFZ,IRN_gadm36,IRN.24_1_gadm36,IRN.24.14_1_gadm36,,,
AGA,MAR_gadm36,MAR.12_1_gadm36,MAR.12.1_1_gadm36,MAR.12.1.2_1_gadm36,MAR.12.1.2.1_1_gadm36,
AGB,DEU_gadm36,DEU.2_1_gadm36,DEU.2.1_1_gadm36,DEU.2.1.1_1_gadm36,DEU.2.1.1.1_1_gadm36,
AGC,USA_gadm36,USA.39_1_gadm36,USA.39.2_1_gadm36,,,
AGD,IDN_gadm36,IDN.22_1_gadm36,IDN.22.4_1_gadm36,IDN.22.4.24_1_gadm36,IDN.22.4.24.2_1_gadm36,
AGE,DEU_gadm36,DEU.9_1_gadm36,DEU.9.11_1_gadm36,DEU.9.11.7_1_gadm36,DEU.9.11.7.1_1_gadm36,
AGF,FRA_gadm36,FRA.10_1_gadm36,FRA.10.10_1_gadm36,FRA.10.10.1_1_gadm36,FRA.10.10.1.5_1_gadm36,FRA.10.10.1.5.1_1_gadm36
AGG,PNG_gadm36,PNG.5_1_gadm36,PNG.5.2_1_gadm36,,,
AGH,SWE_gadm36,SWE.13_1_gadm36,SWE.13.1_1_gadm36,,,
AGI,SUR_gadm36,SUR.5_1_gadm36,SUR.5.4_1_gadm36,,,
AGJ,,,,,,
AGK,PNG_gadm36,PNG.19_1_gadm36,PNG.19.3_1_gadm36,,,
AGL,PNG_gadm36,PNG.17_1_gadm36,PNG.17.1_1_gadm36,,,
AGM,,,,,,
AGN,USA_gadm36,USA.2_1_gadm36,USA.2.21_1_gadm36,,,
AGO,USA_gadm36,USA.4_1_gadm36,USA.4.14_1_gadm36,,,
AGP,ESP_gadm36,ESP.1_1_gadm36,ESP.1.7_1_gadm36,ESP.1.7.4_1_gadm36,ESP.1.7.4.18_1_gadm36,
AGQ,GRC_gadm36,GRC.7_1_gadm36,GRC.7.3_1_gadm36,GRC.7.3.1_1_gadm36,,
